taxonKey,scientificName,rank,taxonomicStatus,kingdom,includes
2224970,"Palaemon macrodactylus Rathbun, 1902",SPECIES,ACCEPTED,Animalia,"2224970: Palaemon macrodactylus Rathbun, 1902 | 10032298: BOLD:ACG4332"
2225646,"Callinectes sapidus Rathbun, 1896",SPECIES,ACCEPTED,Animalia,"2225646: Callinectes sapidus Rathbun, 1896"
2225772,"Hemigrapsus sanguineus (de Haan, 1835)",SPECIES,ACCEPTED,Animalia,"2225772: Hemigrapsus sanguineus (de Haan, 1835) | 9930418: BOLD:AAB4163"
2225776,"Eriocheir sinensis H.Milne Edwards, 1853",SPECIES,ACCEPTED,Animalia,"2225776: Eriocheir sinensis H.Milne Edwards, 1853 | 10020734: BOLD:AAB0750"
2227663,"Rhithropanopeus harrisii (Gould, 1841)",SPECIES,ACCEPTED,Animalia,"2227663: Rhithropanopeus harrisii (Gould, 1841) | 10616195: BOLD:AAA2223"
2287076,"Mytilopsis leucophaeata (Conrad, 1831)",SPECIES,ACCEPTED,Animalia,"2287076: Mytilopsis leucophaeata (Conrad, 1831) | 10398094: BOLD:AAH4257 | 8283653: Mytilopsis leucophaeta (Conrad, 1831) | 5189111: Congeria leucophaeta (Conrad, 1831) | 5728957: Congeria cochleata (Nyst, 1835) | 9486144: Congeria leucophaeata (Conrad, 1831)"
2287249,"Ensis directus (Conrad, 1844)",SPECIES,ACCEPTED,Animalia,"2287249: Ensis directus (Conrad, 1844) | 10198292: BOLD:ABV8193"
2294275,"Eobania vermiculata (O.F.Müller, 1774)",SPECIES,ACCEPTED,Animalia,"9291405: Massylaea vermiculata (O.F.Müller, 1774)"
2367742,"Pimephales promelas Rafinesque, 1820",SPECIES,ACCEPTED,Animalia,"2367742: Pimephales promelas Rafinesque, 1820 | 9837060: BOLD:AAA3948"
2367919,"Misgurnus anguillicaudatus (Cantor, 1842)",SPECIES,ACCEPTED,Animalia,"2367919: Misgurnus anguillicaudatus (Cantor, 1842)"
2379089,"Neogobius melanostomus (Pallas, 1814)",SPECIES,ACCEPTED,Animalia,"2379089: Neogobius melanostomus (Pallas, 1814) | 9987658: BOLD:AAC0218 | 2379090: Gobius melanostomus Pallas, 1814 | 2379075: Neogobius cephalarges (Pallas, 1814) | 2379093: Gobius cephalarges Pallas, 1814 | 2376496: Gobius exanthematosus Pallas, 1814"
2426640,"Pelophylax bedriagae (Camerano, 1882)",SPECIES,ACCEPTED,Animalia,"2426640: Pelophylax bedriagae (Camerano, 1882) | 2426642: Rana bedriagae Camerano, 1882"
2426661,"Pelophylax ridibundus (Pallas, 1771)",SPECIES,ACCEPTED,Animalia,"2426661: Pelophylax ridibundus (Pallas, 1771) | 10964839: Rana ridibunda ridibunda | 2426662: Rana ridibunda Pallas, 1771 | 9321745: Pelophylax ridibundus kurtmuelleri (Gayda, 1940) | 7580395: Rana cachinnans Pallas, 1814"
2431887,"Triturus carnifex (Laurenti, 1768)",SPECIES,ACCEPTED,Animalia,"2431887: Triturus carnifex (Laurenti, 1768) | 10509308: BOLD:AAC9264 | 9227543: Triturus cristatus carnifex (Laurenti, 1768) | 10174248: BOLD:ACE8564 | 11043111: Triton cristatus carnifex (Laurenti, 1768)"
2437282,"Tamiasciurus hudsonicus (Erxleben, 1777)",SPECIES,ACCEPTED,Animalia,"2437282: Tamiasciurus hudsonicus (Erxleben, 1777)"
2437397,"Callosciurus prevostii (Desmarest, 1822)",SPECIES,ACCEPTED,Animalia,"2437397: Callosciurus prevostii (Desmarest, 1822) | 9081553: Callosciurus prevostii borneoensis (Müller & Schlegel, 1842)"
2437619,"Dolichotis patagonum (Zimmermann, 1780)",SPECIES,ACCEPTED,Animalia,"2437619: Dolichotis patagonum (Zimmermann, 1780)"
2440954,"Cervus nippon Temminck, 1838",SPECIES,ACCEPTED,Animalia,"2440954: Cervus nippon Temminck, 1838 | 10635465: BOLD:ACE6621 | 4262379: Cervus nippon mantchuricus Swinhoe, 1864"
2441905,"Chelydra serpentina (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"2441905: Chelydra serpentina (Linnaeus, 1758)"
2458438,"Elaphe schrenckii Strauch, 1873",SPECIES,ACCEPTED,Animalia,"2458438: Elaphe schrenckii Strauch, 1873"
2474162,"Coturnix japonica Temminck & Schlegel, 1849",SPECIES,ACCEPTED,Animalia,"2474162: Coturnix japonica Temminck & Schlegel, 1849"
2479407,"Myiopsitta monachus (Boddaert, 1783)",SPECIES,ACCEPTED,Animalia,"2479407: Myiopsitta monachus (Boddaert, 1783) | 11277649: Myopsitta monachus (Boddaert) | 7192688: Myiopsitta monachus monachus | 6170796: Myiopsitta monachus cotorra (Vieillot, 1818)"
2486131,"Pycnonotus cafer (Linnaeus, 1766)",SPECIES,ACCEPTED,Animalia,"2486131: Pycnonotus cafer (Linnaeus, 1766)"
2498110,"Anas sibilatrix Poeppig, 1829",SPECIES,ACCEPTED,Animalia,"2498110: Anas sibilatrix Poeppig, 1829 | 9508460: Mareca sibilatrix (Poeppig, 1829)"
2498387,"Aix sponsa (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"2498387: Aix sponsa (Linnaeus, 1758)"
2498388,"Aix galericulata (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"2498388: Aix galericulata (Linnaeus, 1758)"
2501248,"Mnemiopsis leidyi A.Agassiz, 1865",SPECIES,ACCEPTED,Animalia,"2501248: Mnemiopsis leidyi A.Agassiz, 1865"
2650107,Azolla filiculoides Lam.,SPECIES,ACCEPTED,Plantae,2650107: Azolla filiculoides Lam. | 4196474: Azolla cristata Kaulf.
