checklist_scientificName	checklist_group	checklist_kingdom	backbone_taxonKey	backbone_taxonomicStatus
Acer negundo	plants	Plantae	3189866	ACCEPTED
Ailanthus altissima	plants	Plantae	3190653	ACCEPTED
Akebia quinata	plants	Plantae	3033965	ACCEPTED
Amelanchier lamarckii	plants	Plantae	3024109	ACCEPTED
Astacus leptodactylus	crustaceans	Animalia	4417551	SYNONYM
Azolla filiculoides	aquatic plants	Plantae	2650107	ACCEPTED
Carpobrotus edulis	plants	Plantae	3084842	ACCEPTED
Cervus nippon	mammals	Animalia	2440954	ACCEPTED
Chelydra serpentina	reptiles	Animalia	2441905	ACCEPTED
Coturnix japonica	birds	Animalia	2474162	ACCEPTED
Crassula helmsii	aquatic plants	Plantae	8035075	ACCEPTED
Cyperus eragrostis	plants	Plantae	2715482	ACCEPTED
Dama dama	mammals	Animalia	5220136	ACCEPTED
Egeria densa	aquatic plants	Plantae	5329260	ACCEPTED
Elaeagnus angustifolia	plants	Plantae	3039269	ACCEPTED
Elaphe schrenckii	reptiles	Animalia	2458438	ACCEPTED
Fraxinus pennsylvanica	plants	Plantae	3172348	ACCEPTED
Impatiens capensis	plants	Plantae	2891774	ACCEPTED
Koenigia polystachya	plants	Plantae	8848208	ACCEPTED
Leiothrix lutea	birds	Animalia	5231398	ACCEPTED
Leuciscus aspius	fish	Animalia	5851603	ACCEPTED
Lycium barbarum	plants	Plantae	2928835	ACCEPTED
Mephitis mephitis	mammals	Animalia	5219380	ACCEPTED
Mimulus guttatus Fisch. ex DC.	plants	Plantae	6070603	SYNONYM
Misgurnus anguillicaudatus	fish	Animalia	2367919	ACCEPTED
Myiopsitta monachus	birds	Animalia	2479407	ACCEPTED
Neogobius melanostomus	fish	Animalia	2379089	ACCEPTED
Neovison vison	mammals	Animalia	2433652	ACCEPTED
Orthriophis taeniurus	reptiles	Animalia	2455523	ACCEPTED
Pelophylax ridibundus	amphibians	Animalia	2426661	ACCEPTED
Phytolacca americana	plants	Plantae	3084015	ACCEPTED
Pimephales promelas	fish	Animalia	2367742	ACCEPTED
Podarcis siculus	reptiles	Animalia	9185677	ACCEPTED
Pontederia cordata	plants	Plantae	2766030	ACCEPTED
Pycnonotus cafer	birds	Animalia	2486131	ACCEPTED
Rhus typhina	plants	Plantae	3190538	ACCEPTED
Rosa multiflora	plants	Plantae	3003244	ACCEPTED
Rudbeckia laciniata	plants	Plantae	3114229	ACCEPTED
Sagittaria latifolia	aquatic plants	Plantae	5328909	ACCEPTED
Spiraea alba	plants	Plantae	7787813	ACCEPTED
Tamiasciurus hudsonicus	mammals	Animalia	2437282	ACCEPTED
Triturus carnifex	amphibians	Animalia	2431887	ACCEPTED
